episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_replayed,info/sample_throughput,info/train_throughput,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/timing_breakdown/optimizer_step_time_ms,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/learner/cur_lr,info/learner/policy_loss,info/learner/entropy,info/learner/entropy_coeff,info/learner/var_gnorm,info/learner/vf_loss,info/learner/vf_explained_var,info/learner/grad_gnorm
-21.0,-21.0,-21.0,3056.0,26,29000,False,29000,26,1,f1b47a0d58a249ba9ce56187ddf09198,2021-08-25_15-26-50,1629905210,10.438269138336182,10.438269138336182,145,f2ea36c855a543329fa4495f79fd6b81000001,10.0.0.5,10.438269138336182,29000,1,13,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056]",1.8881101576335089,0.15590637851259403,1.8646200208804176,43000,29000,592,0,2532.99,3755.813,89.14999999999999,9.014285714285714,0.5842857142857144,0.47394083933722086,32.556,135.664,215.556,0.015,3178.315,46,0.021739130434782608,0.14583052027172538,"[0.0, 0.0, 0.0, 0.0, 1.0]",0.0005000000237487257,-0.0,2.0596215e-26,0.009999999776482582,9.96093,63.248337,0.0025724173,40.0
-21.0,-21.0,-21.0,3056.0,39,31000,False,60000,65,2,f1b47a0d58a249ba9ce56187ddf09198,2021-08-25_15-27-01,1629905221,10.365318536758423,20.803587675094604,145,f2ea36c855a543329fa4495f79fd6b81000001,10.0.0.5,20.803587675094604,60000,2,13,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056]",1.9004846948978766,0.15783066396512654,1.8665101959030461,117000,60000,1204,0,2901.685,6926.604,94.19285714285715,10.007142857142856,0.8457142857142858,0.6902368674066952,16.261,129.952,152.312,33.188,3635.269,119,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0005000000237487257,-0.0,7.334188e-09,0.009999999776482582,10.02629,83.17032,0.031540275,40.0
-21.0,-21.0,-21.0,3056.0,39,32000,False,92000,104,3,f1b47a0d58a249ba9ce56187ddf09198,2021-08-25_15-27-11,1629905231,10.358633279800415,31.16222095489502,145,f2ea36c855a543329fa4495f79fd6b81000001,10.0.0.5,31.16222095489502,92000,3,13,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056]",1.9043485298404275,0.15866727796808847,1.8658889712278528,183000,92000,1840,0,3058.325,6307.797,94.67692307692307,10.107692307692306,0.786923076923077,0.6902368674066952,44.781,132.946,110.391,21.253,4153.915,183,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0005000000237487257,-0.0,1.039464e-09,0.009999999776482582,10.092589,74.84157,0.10283363,40.000004
-21.0,-21.0,-21.0,3056.0,40,32000,False,124000,144,4,f1b47a0d58a249ba9ce56187ddf09198,2021-08-25_15-27-22,1629905242,10.407623767852783,41.5698447227478,145,f2ea36c855a543329fa4495f79fd6b81000001,10.0.0.5,41.5698447227478,124000,4,13,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056]",1.9036361877407841,0.15925592635908464,1.8585159464171312,245000,124000,2480,0,3044.474,5898.671,93.63076923076923,10.138461538461538,0.706153846153846,0.6902368674066952,22.623,134.13,87.798,27.701,4428.788,247,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0005000000237487257,-0.0,2.8895934e-07,0.009999999776482582,10.211994,23.65157,0.5023451,40.000004
-21.0,-21.0,-21.0,3057.12,43,31000,False,155000,187,5,f1b47a0d58a249ba9ce56187ddf09198,2021-08-25_15-27-32,1629905252,10.372305631637573,51.942150354385376,145,f2ea36c855a543329fa4495f79fd6b81000001,10.0.0.5,51.942150354385376,155000,5,13,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3168, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056]",1.900918854113708,0.15895149744411627,1.8465996825739242,309000,155000,3118,0,2953.055,6096.63,93.72857142857143,10.02857142857143,0.6528571428571429,0.6902368674066952,17.383,131.893,74.633,34.574,4587.87,309,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0005000000237487257,2.4419578e-05,0.013219223,0.009999999776482582,10.482514,22.55134,0.7312956,40.000004
-20.0,-21.0,-20.99,3075.79,39,32000,False,187000,226,6,f1b47a0d58a249ba9ce56187ddf09198,2021-08-25_15-27-43,1629905263,10.40310287475586,62.345253229141235,145,f2ea36c855a543329fa4495f79fd6b81000001,10.0.0.5,62.345253229141235,187000,6,13,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[3168, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3168, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3168, 3056, 3056, 3056, 3056, 3056, 3304, 3056, 3056, 3296, 3056, 3056, 3544, 3056, 3056, 3367, 3056, 3056, 3300, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3168]",1.8997117240048127,0.15919638672987316,1.845005777567735,371000,187000,3746,0,3047.03,5903.622,93.39230769230768,10.023076923076921,0.7576923076923078,0.6902368674066952,25.623,132.635,34.771,27.59,5017.791,373,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0005000000237487257,-1.3492329,576.02344,0.009999999776482582,10.660856,1.2733476,0.93872887,40.0
-19.0,-21.0,-20.88,3197.97,39,32000,False,219000,265,7,f1b47a0d58a249ba9ce56187ddf09198,2021-08-25_15-27-53,1629905273,10.377457857131958,72.7227110862732,145,f2ea36c855a543329fa4495f79fd6b81000001,10.0.0.5,72.7227110862732,219000,7,13,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -19.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -19.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0]","[3408, 3056, 3056, 3056, 3296, 3367, 3753, 3296, 3056, 3356, 3296, 3304, 3544, 3965, 3296, 3296, 3520, 3056, 3748, 3961, 3056, 3850, 3408, 3056, 3538, 3296, 3296, 3507, 3056, 3056, 3616, 3296, 3168, 3367, 3370, 3652, 3296, 3056, 3776, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3168, 3168, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3168, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 3168, 3056, 3056, 3056, 3056, 3056, 3304, 3056, 3056, 3296, 3056, 3056, 3544, 3056, 3056, 3367, 3056, 3056, 3300]",1.899961149335303,0.15942899159368193,1.8430608461478182,435000,219000,4384,0,3048.806,6097.612,94.06153846153848,10.184615384615386,0.7953846153846154,0.6902368674066952,23.41,130.506,20.471,27.983,5251.683,437,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0005000000237487257,6.583719,1689.5015,0.009999999776482582,10.837452,1.7488804,0.472265,40.0
-19.0,-21.0,-20.77,3328.58,37,32000,False,251000,302,8,f1b47a0d58a249ba9ce56187ddf09198,2021-08-25_15-28-04,1629905284,10.394634246826172,83.11734533309937,145,f2ea36c855a543329fa4495f79fd6b81000001,10.0.0.5,83.11734533309937,251000,8,13,00000,0,"[-20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -19.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -19.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -19.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -19.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0]","[3423, 3300, 3364, 3447, 3296, 3296, 3780, 3592, 3544, 3776, 3174, 3296, 4150, 3056, 3350, 3747, 3256, 3540, 3056, 3056, 3355, 3540, 3056, 3540, 3683, 3056, 3412, 3941, 3656, 3296, 3619, 3056, 3367, 3056, 3737, 3300, 3300, 3056, 3056, 3056, 3056, 3056, 3168, 3056, 3056, 3056, 3056, 3056, 3304, 3056, 3056, 3296, 3056, 3056, 3544, 3056, 3056, 3367, 3056, 3056, 3300, 3408, 3056, 3056, 3056, 3296, 3367, 3753, 3296, 3056, 3356, 3296, 3304, 3544, 3965, 3296, 3296, 3520, 3056, 3748, 3961, 3056, 3850, 3408, 3056, 3538, 3296, 3296, 3507, 3056, 3056, 3616, 3296, 3168, 3367, 3370, 3652, 3296, 3056, 3776]",1.901814953820087,0.1600890460231324,1.8479033400402884,499000,251000,5031,0,3045.082,6090.165,93.82857142857142,10.235714285714286,0.745,0.6902368674066952,11.988,133.053,19.71,28.425,5253.777,501,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0005000000237487257,-7.990108,1556.6178,0.009999999776482582,11.025134,10.608825,0.58961344,40.0
-18.0,-21.0,-20.6,3440.46,35,32000,False,283000,337,9,f1b47a0d58a249ba9ce56187ddf09198,2021-08-25_15-28-14,1629905294,10.396259784698486,93.51360511779785,145,f2ea36c855a543329fa4495f79fd6b81000001,10.0.0.5,93.51360511779785,283000,9,13,00000,0,"[-21.0, -21.0, -19.0, -21.0, -21.0, -20.0, -21.0, -19.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -19.0, -21.0, -20.0, -21.0, -21.0, -18.0, -21.0, -21.0, -21.0, -18.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -19.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -19.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -19.0, -21.0, -21.0]","[3131, 3056, 3752, 3056, 3536, 3352, 3544, 3678, 3296, 3596, 3441, 3245, 3479, 3056, 3865, 4073, 3508, 3357, 3168, 4198, 3056, 3516, 3176, 3304, 4855, 3056, 3408, 3709, 4070, 3392, 3834, 3131, 3978, 3168, 3131, 3304, 3544, 3965, 3296, 3296, 3520, 3056, 3748, 3961, 3056, 3850, 3408, 3056, 3538, 3296, 3296, 3507, 3056, 3056, 3616, 3296, 3168, 3367, 3370, 3652, 3296, 3056, 3776, 3423, 3300, 3364, 3447, 3296, 3296, 3780, 3592, 3544, 3776, 3174, 3296, 4150, 3056, 3350, 3747, 3256, 3540, 3056, 3056, 3355, 3540, 3056, 3540, 3683, 3056, 3412, 3941, 3656, 3296, 3619, 3056, 3367, 3056, 3737, 3300, 3300]",1.9037743466288686,0.16032909697558417,1.8498269389537287,563000,283000,5668,0,3045.731,6091.463,94.04615384615384,10.36923076923077,0.8184615384615385,0.6902368674066952,21.921,130.942,19.231,32.888,5243.845,565,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0005000000237487257,8.344036,1417.8025,0.009999999776482582,11.124971,5.937363,0.82138956,40.0
-18.0,-21.0,-20.51,3465.05,38,31000,False,314000,375,10,f1b47a0d58a249ba9ce56187ddf09198,2021-08-25_15-28-25,1629905305,10.387092351913452,103.9006974697113,145,f2ea36c855a543329fa4495f79fd6b81000001,10.0.0.5,103.9006974697113,314000,10,13,00000,0,"[-21.0, -21.0, -19.0, -19.0, -21.0, -21.0, -19.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -18.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -21.0, -18.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -19.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -19.0, -21.0, -21.0, -21.0, -21.0, -19.0, -21.0, -21.0, -20.0, -21.0, -19.0, -21.0, -20.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -19.0, -21.0, -20.0, -21.0, -21.0, -18.0, -21.0, -21.0, -21.0, -18.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0]","[3681, 3296, 3661, 4244, 3296, 3408, 3998, 3304, 3959, 3940, 3408, 3300, 3056, 3056, 3446, 4079, 3296, 3131, 3591, 3056, 3479, 3300, 3300, 3296, 4024, 3168, 4305, 3056, 3168, 3370, 3128, 3721, 3296, 3056, 3408, 4820, 3526, 3056, 3174, 3296, 4150, 3056, 3350, 3747, 3256, 3540, 3056, 3056, 3355, 3540, 3056, 3540, 3683, 3056, 3412, 3941, 3656, 3296, 3619, 3056, 3367, 3056, 3737, 3300, 3300, 3131, 3056, 3752, 3056, 3536, 3352, 3544, 3678, 3296, 3596, 3441, 3245, 3479, 3056, 3865, 4073, 3508, 3357, 3168, 4198, 3056, 3516, 3176, 3304, 4855, 3056, 3408, 3709, 4070, 3392, 3834, 3131, 3978, 3168, 3131]",1.903493323146955,0.16043651664914385,1.8501198804200363,626000,314000,6299,0,2953.148,6001.561,93.4,10.33846153846154,0.8215384615384616,0.6902368674066952,15.281,127.541,18.682,30.806,5268.055,627,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0005000000237487257,61.921906,1717.5554,0.009999999776482582,11.196299,63.915634,0.34770572,40.0
